id,tier,preview,uk,en,de,pl,es,fr
dog,free,,Собака,Dog,Hund,Pies,Perro,Chien
cat,free,,Кіт,Cat,Katze,Kot,Gato,Chat
cow,free,,Корова,Cow,Kuh,Krowa,Vaca,Vache
pig,free,,Свиня,Pig,Schwein,Świnia,Cerdo,Cochon
horse,free,,Кінь,Horse,Pferd,Koń,Caballo,Cheval
sheep,full,,Вівця,Sheep,Schaf,Owca,Oveja,Mouton
hen,full,,Курка,Hen,Huhn,Kura,Gallina,Poule
duck,full,,Качка,Duck,Ente,Kaczka,Pato,Canard
rabbit,free,,Кролик,Rabbit,Kaninchen,Królik,Conejo,Lapin
mouse,full,,Миша,Mouse,Maus,Mysz,Ratón,Souris
turtle,full,,Черепаха,Turtle,Schildkröte,Żółw,Tortuga,Tortue
bear,free,,Ведмідь,Bear,Bär,Niedźwiedź,Oso,Ours
wolf,full,,Вовк,Wolf,Wolf,Wilk,Lobo,Loup
fox,full,,Лисиця,Fox,Fuchs,Lis,Zorro,Renard
hedgehog,full,,Їжак,Hedgehog,Igel,Jeż,Erizo,Hérisson
squirrel,full,,Білка,Squirrel,Eichhörnchen,Wiewiórka,Ardilla,Écureuil
lion,free,,Лев,Lion,Löwe,Lew,León,Lion
tiger,full,yes,Тигр,Tiger,Tiger,Tygrys,Tigre,Tigre
zebra,full,,Зебра,Zebra,Zebra,Zebra,Cebra,Zèbre
monkey,full,,Мавпа,Monkey,Affe,Małpa,Mono,Singe
frog,full,,Жаба,Frog,Frosch,Żaba,Rana,Grenouille
penguin,full,,Пінгвін,Penguin,Pinguin,Pingwin,Pingüino,Pingouin
owl,full,,Сова,Owl,Eule,Sowa,Búho,Hibou
whale,full,,Кит,Whale,Wal,Wieloryb,Ballena,Baleine
fish,free,,Риба,Fish,Fisch,Ryba,Pez,Poisson
butterfly,full,,Метелик,Butterfly,Schmetterling,Motyl,Mariposa,Papillon
bee,full,,Бджола,Bee,Biene,Pszczoła,Abeja,Abeille
ladybug,full,,Сонечко,Ladybug,Marienkäfer,Biedronka,Mariquita,Coccinelle
snail,full,,Равлик,Snail,Schnecke,Ślimak,Caracol,Escargot
sun,free,,Сонце,Sun,Sonne,Słońce,Sol,Soleil
moon,free,,Місяць,Moon,Mond,Księżyc,Luna,Lune
star,full,,Зірка,Star,Stern,Gwiazda,Estrella,Étoile
cloud,full,,Хмара,Cloud,Wolke,Chmura,Nube,Nuage
rainbow,full,yes,Веселка,Rainbow,Regenbogen,Tęcza,Arcoíris,Arc-en-ciel
tree,free,,Дерево,Tree,Baum,Drzewo,Árbol,Arbre
flower,free,,Квітка,Flower,Blume,Kwiat,Flor,Fleur
apple,free,,Яблуко,Apple,Apfel,Jabłko,Manzana,Pomme
banana,free,,Банан,Banana,Banane,Banan,Plátano,Banane
pear,full,,Груша,Pear,Birne,Gruszka,Pera,Poire
orange,full,,Апельсин,Orange,Orange,Pomarańcza,Naranja,Orange
grapes,full,,Виноград,Grapes,Weintrauben,Winogrona,Uvas,Raisin
strawberry,full,,Полуниця,Strawberry,Erdbeere,Truskawka,Fresa,Fraise
watermelon,free,,Кавун,Watermelon,Wassermelone,Arbuz,Sandía,Pastèque
carrot,free,,Морква,Carrot,Karotte,Marchewka,Zanahoria,Carotte
tomato,full,,Помідор,Tomato,Tomate,Pomidor,Tomate,Tomate
cucumber,full,,Огірок,Cucumber,Gurke,Ogórek,Pepino,Concombre
corn,full,,Кукурудза,Corn,Mais,Kukurydza,Maíz,Maïs
pumpkin,full,,Гарбуз,Pumpkin,Kürbis,Dynia,Calabaza,Citrouille
mushroom,full,,Гриб,Mushroom,Pilz,Grzyb,Seta,Champignon
bread,full,,Хліб,Bread,Brot,Chleb,Pan,Pain
egg,full,,Яйце,Egg,Ei,Jajko,Huevo,Œuf
cheese,full,,Сир,Cheese,Käse,Ser,Queso,Fromage
milk,full,,Молоко,Milk,Milch,Mleko,Leche,Lait
pizza,full,,Піца,Pizza,Pizza,Pizza,Pizza,Pizza
cake,free,,Торт,Cake,Torte,Tort,Tarta,Gâteau
candy,full,,Цукерка,Candy,Bonbon,Cukierek,Caramelo,Bonbon
ice_cream,free,,Морозиво,Ice cream,Eis,Lody,Helado,Glace
house,free,,Будинок,House,Haus,Dom,Casa,Maison
cup,full,,Чашка,Cup,Tasse,Kubek,Taza,Tasse
spoon,full,,Ложка,Spoon,Löffel,Łyżka,Cuchara,Cuillère
plate,full,,Тарілка,Plate,Teller,Talerz,Plato,Assiette
table,full,,Стіл,Table,Tisch,Stół,Mesa,Table
chair,free,,Стілець,Chair,Stuhl,Krzesło,Silla,Chaise
bed,free,,Ліжко,Bed,Bett,Łóżko,Cama,Lit
lamp,full,,Лампа,Lamp,Lampe,Lampa,Lámpara,Lampe
clock,full,,Годинник,Clock,Uhr,Zegar,Reloj,Horloge
window,full,,Вікно,Window,Fenster,Okno,Ventana,Fenêtre
door,full,,Двері,Door,Tür,Drzwi,Puerta,Porte
key,full,,Ключ,Key,Schlüssel,Klucz,Llave,Clé
toothbrush,free,,Зубна щітка,Toothbrush,Zahnbürste,Szczoteczka,Cepillo de dientes,Brosse à dents
soap,full,,Мило,Soap,Seife,Mydło,Jabón,Savon
phone,full,,Телефон,Phone,Telefon,Telefon,Teléfono,Téléphone
tv,full,,Телевізор,TV,Fernseher,Telewizor,Televisión,Télé
woolly_hat,full,,Шапка,Winter hat,Mütze,Czapka,Gorro,Bonnet
socks,full,,Шкарпетки,Socks,Socken,Skarpetki,Calcetines,Chaussettes
boots,full,,Чоботи,Boots,Stiefel,Kalosze,Botas,Bottes
glasses,full,,Окуляри,Glasses,Brille,Okulary,Gafas,Lunettes
umbrella,full,,Парасолька,Umbrella,Regenschirm,Parasol,Paraguas,Parapluie
backpack,full,,Рюкзак,Backpack,Rucksack,Plecak,Mochila,Sac à dos
ball,free,,М'яч,Ball,Ball,Piłka,Pelota,Balle
balloon,free,,Кулька,Balloon,Luftballon,Balon,Globo,Ballon
doll,full,,Лялька,Doll,Puppe,Lalka,Muñeca,Poupée
teddy_bear,free,,Ведмедик,Teddy bear,Teddybär,Miś,Osito de peluche,Nounours
kite,full,,Повітряний змій,Kite,Drachen,Latawiec,Cometa,Cerf-volant
pencil,full,,Олівець,Pencil,Bleistift,Ołówek,Lápiz,Crayon
book,full,,Книжка,Book,Buch,Książka,Libro,Livre
drum,full,,Барабан,Drum,Trommel,Bęben,Tambor,Tambour
guitar,full,,Гітара,Guitar,Gitarre,Gitara,Guitarra,Guitare
hand,full,,Рука,Hand,Hand,Ręka,Mano,Main
heart,full,,Серце,Heart,Herz,Serce,Corazón,Cœur
gift,full,,Подарунок,Gift,Geschenk,Prezent,Regalo,Cadeau
car,free,,Машина,Car,Auto,Samochód,Coche,Voiture
bus,free,,Автобус,Bus,Bus,Autobus,Autobús,Bus
train,free,,Потяг,Train,Zug,Pociąg,Tren,Train
plane,free,,Літак,Plane,Flugzeug,Samolot,Avión,Avion
ship,full,,Корабель,Ship,Schiff,Statek,Barco,Bateau
bicycle,full,,Велосипед,Bicycle,Fahrrad,Rower,Bicicleta,Vélo
tractor,full,,Трактор,Tractor,Traktor,Traktor,Tractor,Tracteur
rocket,full,yes,Ракета,Rocket,Rakete,Rakieta,Cohete,Fusée
snowman,full,,Сніговик,Snowman,Schneemann,Bałwan,Muñeco de nieve,Bonhomme de neige
goat,full,,Коза,Goat,Ziege,Koza,Cabra,Chèvre
rooster,full,,Півень,Rooster,Hahn,Kogut,Gallo,Coq
chick,full,,Курча,Chick,Küken,Kurczątko,Pollito,Poussin
donkey,full,,Віслюк,Donkey,Esel,Osioł,Burro,Âne
hamster,full,,Хом'як,Hamster,Hamster,Chomik,Hámster,Hamster
parrot,full,,Папуга,Parrot,Papagei,Papuga,Loro,Perroquet
elephant,full,yes,Слон,Elephant,Elefant,Słoń,Elefante,Éléphant
giraffe,full,yes,Жирафа,Giraffe,Giraffe,Żyrafa,Jirafa,Girafe
crocodile,full,yes,Крокодил,Crocodile,Krokodil,Krokodyl,Cocodrilo,Crocodile
hippo,full,,Бегемот,Hippo,Nilpferd,Hipopotam,Hipopótamo,Hippopotame
kangaroo,full,,Кенгуру,Kangaroo,Känguru,Kangur,Canguro,Kangourou
panda,full,,Панда,Panda,Panda,Panda,Panda,Panda
camel,full,,Верблюд,Camel,Kamel,Wielbłąd,Camello,Chameau
deer,full,,Олень,Deer,Hirsch,Jeleń,Ciervo,Cerf
snake,full,,Змія,Snake,Schlange,Wąż,Serpiente,Serpent
dinosaur,full,yes,Динозавр,Dinosaur,Dinosaurier,Dinozaur,Dinosaurio,Dinosaure
bird,full,,Пташка,Bird,Vogel,Ptak,Pájaro,Oiseau
flamingo,full,,Фламінго,Flamingo,Flamingo,Flaming,Flamenco,Flamant rose
dolphin,full,,Дельфін,Dolphin,Delfin,Delfin,Delfín,Dauphin
shark,full,,Акула,Shark,Hai,Rekin,Tiburón,Requin
octopus,full,,Восьминіг,Octopus,Krake,Ośmiornica,Pulpo,Pieuvre
crab,full,,Краб,Crab,Krabbe,Krab,Cangrejo,Crabe
spider,full,,Павук,Spider,Spinne,Pająk,Araña,Araignée
caterpillar,full,,Гусениця,Caterpillar,Raupe,Gąsienica,Oruga,Chenille
lemon,full,,Лимон,Lemon,Zitrone,Cytryna,Limón,Citron
cherry,full,,Вишня,Cherry,Kirsche,Wiśnia,Cereza,Cerise
peach,full,,Персик,Peach,Pfirsich,Brzoskwinia,Melocotón,Pêche
pineapple,full,,Ананас,Pineapple,Ananas,Ananas,Piña,Ananas
potato,full,,Картопля,Potato,Kartoffel,Ziemniak,Patata,Pomme de terre
onion,full,,Цибуля,Onion,Zwiebel,Cebula,Cebolla,Oignon
cabbage,full,,Капуста,Cabbage,Kohl,Kapusta,Col,Chou
soup,full,,Суп,Soup,Suppe,Zupa,Sopa,Soupe
sandwich,full,,Бутерброд,Sandwich,Sandwich,Kanapka,Sándwich,Sandwich
pasta,full,,Макарони,Pasta,Nudeln,Makaron,Espaguetis,Pâtes
pancake,full,,Млинці,Pancakes,Pfannkuchen,Naleśniki,Tortitas,Crêpes
cookie,full,,Печиво,Cookie,Keks,Ciastko,Galleta,Biscuit
chocolate,full,,Шоколад,Chocolate,Schokolade,Czekolada,Chocolate,Chocolat
lollipop,full,,Льодяник,Lollipop,Lutscher,Lizak,Piruleta,Sucette
juice,full,,Сік,Juice,Saft,Sok,Zumo,Jus
fork,full,,Виделка,Fork,Gabel,Widelec,Tenedor,Fourchette
pot,full,,Каструля,Pot,Topf,Garnek,Olla,Casserole
