id,tier,preview,level,category,uk,en,de,pl,es,fr,draw
dog,free,,1,animals,Собака,Dog,Hund,Pies,Perro,Chien,a friendly brown dog sitting
cat,free,,1,animals,Кіт,Cat,Katze,Kot,Gato,Chat,a grey cat sitting
cow,free,,1,animals,Корова,Cow,Kuh,Krowa,Vaca,Vache,a black and white cow standing
pig,free,,1,animals,Свиня,Pig,Schwein,Świnia,Cerdo,Cochon,a pink pig standing
horse,free,,1,animals,Кінь,Horse,Pferd,Koń,Caballo,Cheval,a brown horse standing
sheep,full,,1,animals,Вівця,Sheep,Schaf,Owca,Oveja,Mouton,a fluffy white sheep
goat,full,,1,animals,Коза,Goat,Ziege,Koza,Cabra,Chèvre,a white goat with small horns and a beard
hen,full,,1,animals,Курка,Hen,Huhn,Kura,Gallina,Poule,a brown hen
rooster,full,,1,animals,Півень,Rooster,Hahn,Kogut,Gallo,Coq,a rooster with a big red comb and colorful tail
chick,full,,1,animals,Курча,Chick,Küken,Kurczątko,Pollito,Poussin,a small fluffy yellow chick
duck,full,,1,animals,Качка,Duck,Ente,Kaczka,Pato,Canard,a white duck with an orange beak
goose,full,,2,animals,Гуска,Goose,Gans,Gęś,Ganso,Oie,a white goose with a long neck
turkey,full,,2,animals,Індик,Turkey,Truthahn,Indyk,Pavo,Dinde,a turkey with a fanned tail
donkey,full,,1,animals,Віслюк,Donkey,Esel,Osioł,Burro,Âne,a grey donkey with long ears
rabbit,free,,1,animals,Кролик,Rabbit,Kaninchen,Królik,Conejo,Lapin,a white rabbit with long ears sitting
hamster,full,,1,animals,Хом'як,Hamster,Hamster,Chomik,Hámster,Hamster,a round ginger hamster
mouse,full,,1,animals,Миша,Mouse,Maus,Mysz,Ratón,Souris,a small grey mouse with round ears
parrot,full,,1,animals,Папуга,Parrot,Papagei,Papuga,Loro,Perroquet,a bright green and red parrot
turtle,full,,1,animals,Черепаха,Turtle,Schildkröte,Żółw,Tortuga,Tortue,a green tortoise with a domed shell
bull,full,,2,animals,Бик,Bull,Stier,Byk,Toro,Taureau,a brown bull with horns
goldfish,full,,2,animals,Золота рибка,Goldfish,Goldfisch,Złota rybka,Pez dorado,Poisson rouge,an orange goldfish in a round bowl
doghouse,full,,1,animals,Будка,Doghouse,Hundehütte,Buda,Caseta,Niche,a small wooden doghouse with a round door
barn,full,,2,animals,Сарай,Barn,Scheune,Stodoła,Granero,Grange,a red farm barn
hay,full,,2,animals,Сіно,Hay,Heu,Siano,Heno,Foin,a round bale of hay
horseshoe,full,,2,animals,Підкова,Horseshoe,Hufeisen,Podkowa,Herradura,Fer à cheval,a single metal horseshoe
beehive,full,,2,animals,Вулик,Beehive,Bienenstock,Ul,Colmena,Ruche,a wooden beehive box with bees
bear,free,,1,animals,Ведмідь,Bear,Bär,Niedźwiedź,Oso,Ours,a brown bear standing on four legs
wolf,full,,1,animals,Вовк,Wolf,Wolf,Wilk,Lobo,Loup,a grey wolf
fox,full,,1,animals,Лисиця,Fox,Fuchs,Lis,Zorro,Renard,an orange fox with a fluffy tail
hedgehog,full,,1,animals,Їжак,Hedgehog,Igel,Jeż,Erizo,Hérisson,a hedgehog with spines
squirrel,full,,1,animals,Білка,Squirrel,Eichhörnchen,Wiewiórka,Ardilla,Écureuil,a red squirrel with a bushy tail
elephant,full,yes,1,animals,Слон,Elephant,Elefant,Słoń,Elefante,Éléphant,a grey elephant with a trunk
lion,free,,1,animals,Лев,Lion,Löwe,Lew,León,Lion,a lion with a big mane
tiger,full,yes,1,animals,Тигр,Tiger,Tiger,Tygrys,Tigre,Tigre,an orange tiger with black stripes
giraffe,full,yes,1,animals,Жирафа,Giraffe,Giraffe,Żyrafa,Jirafa,Girafe,a tall giraffe with spots
zebra,full,,1,animals,Зебра,Zebra,Zebra,Zebra,Cebra,Zèbre,a zebra with black and white stripes
monkey,full,,1,animals,Мавпа,Monkey,Affe,Małpa,Mono,Singe,a brown monkey with a long tail
crocodile,full,yes,1,animals,Крокодил,Crocodile,Krokodil,Krokodyl,Cocodrilo,Crocodile,"a green crocodile with teeth showing, friendly"
hippo,full,,1,animals,Бегемот,Hippo,Nilpferd,Hipopotam,Hipopótamo,Hippopotame,a round purple-grey hippo
rhino,full,,2,animals,Носоріг,Rhino,Nashorn,Nosorożec,Rinoceronte,Rhinocéros,a grey rhino with a horn on its nose
kangaroo,full,,1,animals,Кенгуру,Kangaroo,Känguru,Kangur,Canguro,Kangourou,a kangaroo standing on its hind legs
koala,full,,2,animals,Коала,Koala,Koala,Koala,Koala,Koala,a grey koala hugging a branch
panda,full,,1,animals,Панда,Panda,Panda,Panda,Panda,Panda,a black and white panda sitting
camel,full,,1,animals,Верблюд,Camel,Kamel,Wielbłąd,Camello,Chameau,a camel with two humps
deer,full,,1,animals,Олень,Deer,Hirsch,Jeleń,Ciervo,Cerf,a deer with antlers
moose,full,,2,animals,Лось,Moose,Elch,Łoś,Alce,Élan,a moose with wide flat antlers
boar,full,,2,animals,Кабан,Boar,Wildschwein,Dzik,Jabalí,Sanglier,a wild boar with tusks
beaver,full,,2,animals,Бобер,Beaver,Biber,Bóbr,Castor,Castor,a beaver with a flat tail and big front teeth
raccoon,full,,2,animals,Єнот,Raccoon,Waschbär,Szop,Mapache,Raton laveur,a raccoon with a striped tail and a black mask
mole,full,,2,animals,Кріт,Mole,Maulwurf,Kret,Topo,Taupe,a dark mole peeking out of a mound of soil
bat,full,,2,animals,Кажан,Bat,Fledermaus,Nietoperz,Murciélago,Chauve-souris,a small friendly bat with open wings
snake,full,,1,animals,Змія,Snake,Schlange,Wąż,Serpiente,Serpent,"a green snake curled up, friendly"
lizard,full,,2,animals,Ящірка,Lizard,Eidechse,Jaszczurka,Lagarto,Lézard,a small green lizard
frog,full,,1,animals,Жаба,Frog,Frosch,Żaba,Rana,Grenouille,a green frog sitting
leopard,full,,2,animals,Леопард,Leopard,Leopard,Lampart,Leopardo,Léopard,a yellow leopard with black spots
gorilla,full,,2,animals,Горила,Gorilla,Gorilla,Goryl,Gorila,Gorille,a big black gorilla sitting
polar_bear,full,,1,animals,Білий ведмідь,Polar bear,Eisbär,Niedźwiedź polarny,Oso polar,Ours polaire,a white polar bear
penguin,full,,1,animals,Пінгвін,Penguin,Pinguin,Pingwin,Pingüino,Pingouin,a black and white penguin standing
seal,full,,2,animals,Тюлень,Seal,Robbe,Foka,Foca,Phoque,a grey seal lying down
